Top_X,Top_Y,Top_LX,Top_LY,Top_MlX,Top_MlY,Top_McX,Top_McY,DeckX,DeckY,SS1X,SS1Y,SS1sX,SS1sY,SS2X,SS2Y,SS2sX,SS2sY,,Side_hullX,Side_hullY,SideL1_X,SideL1_Y,Side_SSX,Side_SSY,Ladder_X1,Ladder_Y1,Ladder_X2,Ladder_Y2,SideL2_X,SideL2_Y,,
0,-3.10765,-3.13876,-2.92345,0,0,0,0.938342,-2.18545,3.54589,-1.94844,2.78004,-1.94844,2.78004,-1.7125,13.7601,-1.7125,13.7601,,-2.64248,-2.78762,3.77924,1.61174,2.78,0,19.4228,2.92315,19.774,1.92701,13.677,1.61174,,
-3.13093,-3.10703,-3.33433,2.78004,-0.09,0,-0.090053,0.938342,-3.13454,3.6156,-1.94844,11.2392,-2.11022,2.78004,-1.7125,17.3056,-1.7125,17.3056,,-2.92192,-0.810107,3.76658,2.43434,2.78,1.61174,19.4108,2.96645,20.1061,1.93097,13.5668,1.61174,,
-3.19727,-3.09991,3.33433,2.78004,-0.09,2.43173,-0.235211,0.916086,-3.2313,6.33349,-3.12641,12.0154,-2.22933,3.54085,-1.0425,17.987,-1.0425,17.987,,-2.92091,0,3.34635,2.55112,5.59185,1.61174,20.1179,2.96645,21.2971,-0.295055,13.5668,4.87159,,
-3.25745,-3.07879,3.13876,-2.92345,-2.84569,2.43173,-0.348172,0.879383,-3.28906,10.5022,-3.12641,17.8937,-2.22933,11.3335,1.0425,17.987,0,17.987,,2.78004,0,3.38045,2.55466,5.5838,2.09918,21.304,0.79579,21.1949,-0.296509,12.1868,4.87159,,
-3.29807,-3.03143,,,-2.76082,-2.38938,-0.455643,0.828811,-3.28906,15.6741,-1.77519,19.3961,-1.94844,11.2392,1.7125,17.3056,0,18.3884,,3.05313,-0.255088,3.37494,2.79068,5.01973,2.21552,21.2524,0.629839,20.0178,1.89165,10.7075,1.61174,,
-3.31866,-2.97026,,,-0.09,-2.38938,-0.555927,0.765168,-3.15736,18.5118,1.77519,19.3961,-1.94844,2.78004,1.7125,13.7601,-1.15288,18.3884,,6.24309,-0.229451,3.52896,2.79335,5.0189,2.26627,20.9028,0.437798,19.7832,1.89137,10.6027,1.61174,,
-3.32337,-2.90424,,,-0.09,0,-0.647445,0.689459,-2.9884,20.2207,3.12641,17.8937,,,-1.7125,13.7601,-1.94844,17.6866,,8.99532,-0.183277,3.52805,2.55722,5.05858,2.48178,20.8879,0.478678,19.774,1.92701,13.5668,7.9202,,
-3.34953,-2.14979,,,0,0,-0.728751,0.602876,-2.81515,21.8676,3.12641,12.0154,,,,,-1.94844,13.0399,,10.0094,-0.161898,3.76164,2.55722,5.1827,2.66986,21.2282,0.669769,,,13.5668,7.68334,,
-3.42086,0.107742,,,0,-2.53467,-0.798565,0.506785,-2.47334,23.3044,1.94844,11.2392,,,,,-1.7125,13.7601,,10.2461,-0.048793,3.74776,3.3923,5.36887,2.79332,21.2734,0.788395,,,12.201,4.90885,,
-3.50205,2.62184,,,-2.91501,-2.53467,-0.855785,0.402702,-1.88913,25.1171,1.94844,2.78004,,,,,,,,10.4245,0.12873,3.51344,3.59053,5.57162,2.83496,20.9782,1.33539,,,13.2087,4.93045,,
-3.5834,5.63944,,,-3.02197,2.60146,-0.899509,0.292268,-1.25816,26.8449,-1.94844,2.78004,,,,,,,,11.8401,2.65428,3.51262,3.64561,5.78284,2.79824,20.5402,1.11122,,,13.2001,5.23497,,
-3.62964,7.6499,,,0,2.60146,-0.929047,0.177225,-0.616886,28.3057,,,,,,,,,,11.9693,2.72861,3.36516,3.6029,5.97392,2.67676,20.525,1.15179,,,13.5668,5.24115,,
-3.6844,10.1629,,,0,0,-0.943934,0.059387,-0.124542,29.0161,,,,,,,,,,13.7812,2.75917,3.29154,3.83756,6.10053,2.49065,20.9585,1.37567,,,13.5668,6.34474,,
-3.70639,13.938,,,,,-0.943934,-0.059387,0,29.0833,,,,,,,,,,13.8579,1.51992,3.4391,3.87993,6.14282,2.28729,20.7567,1.74171,,,13.1332,6.47733,,
-3.70406,15.4467,,,,,-0.929047,-0.177225,0,3.54589,,,,,,,,,,13.4721,1.46839,3.47593,3.76253,6.15381,1.61174,20.3252,1.51081,,,13.1277,6.73102,,
-3.68397,17.1994,,,,,-0.899509,-0.292268,-2.18545,3.54589,,,,,,,,,,13.2392,1.30316,3.51637,3.76223,13.0399,1.61174,20.3075,1.54335,,,13.2809,6.73389,,
-3.64669,18.4552,,,,,-0.855785,-0.402702,,,,,,,,,,,,12.6523,0.280588,3.51681,3.73771,13.7595,4.06819,20.7422,1.77424,,,13.2851,6.48017,,
-3.6,19.4676,,,,,-0.798565,-0.506785,,,,,,,,,,,,12.6488,0.18596,3.56173,3.73849,17.9994,4.13772,20.1093,2.92619,,,13.5668,6.48431,,
-3.53416,20.471,,,,,-0.728751,-0.602876,,,,,,,,,,,,12.676,0.101656,3.56436,3.59141,19.5863,-0.360984,19.4108,2.9177,,,13.5668,8.37775,,
-3.49009,20.9626,,,,,-0.647445,-0.689459,,,,,,,,,,,,12.7614,-0.012836,3.74405,3.59453,3.634,-0.800335,,,,,13.0983,8.50706,,
-3.38024,21.9714,,,,,-0.555927,-0.765168,,,,,,,,,,,,12.8924,-0.067425,3.72974,4.40032,2.78,0,,,,,13.0941,8.76077,,
-3.2712,22.7178,,,,,-0.455643,-0.828811,,,,,,,,,,,,15.2482,0.018844,3.30374,4.52482,,,,,,,13.2473,8.76077,,``
-3.08528,23.7065,,,,,-0.348172,-0.879383,,,,,,,,,,,,15.5195,0.142582,3.34224,4.52549,,,,,,,13.2515,8.50992,,
-2.91342,24.4414,,,,,-0.235211,-0.916086,,,,,,,,,,,,15.7161,0.364328,3.33786,4.77062,,,,,,,13.5668,8.50992,,
-2.69367,25.2212,,,,,-0.089802,-0.938342,,,,,,,,,,,,16.1647,1.18408,3.49188,4.7733,,,,,,,13.5668,10.5203,,
-2.44204,26.1113,,,,,0,-0.938342,,,,,,,,,,,,16.1737,1.26309,3.49626,4.52816,,,,,,,13.4254,10.5689,,
-2.22241,26.7699,,,,,0,-0.77881,,,,,,,,,,,,16.1614,1.34157,3.82996,4.5339,,,,,,,13.4239,10.829,,
-1.88665,27.6325,,,,,-0.090053,-0.77881,,,,,,,,,,,,16.127,1.42063,3.82996,1.61174,,,,,,,13.5713,10.8318,,
-1.49745,28.4733,,,,,-0.195222,-0.760338,,,,,,,,,,,,16.0156,1.51993,3.77924,1.61174,,,,,,,13.5809,10.5718,,
-1.28083,28.8831,,,,,-0.288978,-0.729875,,,,,,,,,,,,15.858,1.55756,,,,,,,,,13.6595,10.5461,,
-0.924688,29.4811,,,,,-0.378177,-0.687901,,,,,,,,,,,,13.8579,1.51992,,,,,,,,,13.7799,10.5502,,
-0.663106,29.8674,,,,,-0.461411,-0.635078,,,,,,,,,,,,13.7812,2.75917,,,,,,,,,13.7757,10.8039,,
-0.470802,30.1159,,,,,-0.537369,-0.57224,,,,,,,,,,,,17.8936,2.83859,,,,,,,,,13.929,10.8068,,
-0.359421,30.2332,,,,,-0.604853,-0.500378,,,,,,,,,,,,19.3957,2.97839,,,,,,,,,13.9378,10.5531,,
-0.297133,30.2883,,,,,-0.662797,-0.420624,,,,,,,,,,,,19.8255,1.74374,,,,,,,,,13.6558,10.4094,,
-0.231515,30.3381,,,,,-0.710289,-0.334237,,,,,,,,,,,,18.3192,1.60416,,,,,,,,,13.6558,8.51614,,
-0.159686,30.3833,,,,,-0.746579,-0.242578,,,,,,,,,,,,17.6225,1.59027,,,,,,,,,13.8132,8.52043,,
-0.083208,30.4112,,,,,-0.771096,-0.147094,,,,,,,,,,,,17.4904,1.57556,,,,,,,,,13.8093,8.77415,,
0,30.4207,,,,,-0.783451,-0.049291,,,,,,,,,,,,17.3464,1.53141,,,,,,,,,13.9626,8.77702,,
0.083208,30.4112,,,,,-0.783451,0.049291,,,,,,,,,,,,17.2213,1.46198,,,,,,,,,13.9674,8.52331,,
0.159686,30.3833,,,,,-0.771096,0.147094,,,,,,,,,,,,17.1135,1.37006,,,,,,,,,13.6558,8.37966,,
0.231515,30.3381,,,,,-0.746579,0.242578,,,,,,,,,,,,16.636,0.562189,,,,,,,,,13.6558,4.93864,,
0.297133,30.2883,,,,,-0.710289,0.334237,,,,,,,,,,,,16.5767,0.394675,,,,,,,,,13.677,4.93864,,
0.359421,30.2332,,,,,-0.662797,0.420624,,,,,,,,,,,,16.6027,0.269267,,,,,,,,,13.677,1.61174,,
0.470802,30.1159,,,,,-0.604853,0.500378,,,,,,,,,,,,16.6825,0.157494,,,,,,,,,,,,
0.663106,29.8674,,,,,-0.537369,0.57224,,,,,,,,,,,,16.8014,0.093878,,,,,,,,,,,,
0.924688,29.4811,,,,,-0.461411,0.635078,,,,,,,,,,,,18.6018,0.190685,,,,,,,,,,,,
1.28083,28.8831,,,,,-0.378177,0.687901,,,,,,,,,,,,21.9397,0.392603,,,,,,,,,,,,
1.49745,28.4733,,,,,-0.288978,0.729875,,,,,,,,,,,,25.8772,0.673255,,,,,,,,,,,,
1.88665,27.6325,,,,,-0.195222,0.760338,,,,,,,,,,,,28.5799,0.9097,,,,,,,,,,,,
2.22241,26.7699,,,,,-0.090053,0.77881,,,,,,,,,,,,30.3939,1.09454,,,,,,,,,,,,
2.44204,26.1113,,,,,0,0.77881,,,,,,,,,,,,30.4207,1.07302,,,,,,,,,,,,
2.69367,25.2212,,,,,0,0.938342,,,,,,,,,,,,30.4225,1.04552,,,,,,,,,,,,
2.91342,24.4414,,,,,,,,,,,,,,,,,,30.401,1.01994,,,,,,,,,,,,
3.08528,23.7065,,,,,,,,,,,,,,,,,,30.3748,1.01511,,,,,,,,,,,,
3.2712,22.7178,,,,,,,,,,,,,,,,,,30.0495,-0.043676,,,,,,,,,,,,
3.38024,21.9714,,,,,,,,,,,,,,,,,,29.5088,-1.39232,,,,,,,,,,,,
3.49009,20.9626,,,,,,,,,,,,,,,,,,28.9506,-2.73188,,,,,,,,,,,,
3.53416,20.471,,,,,,,,,,,,,,,,,,-2.64248,-2.78762,,,,,,,,,,,,
3.6,19.4676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.64669,18.4552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.68397,17.1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.70406,15.4467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.70639,13.938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.6844,10.1629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.62964,7.6499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.5834,5.63944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.50205,2.62184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.42086,0.107742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.34953,-2.14979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.32337,-2.90424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.31866,-2.97026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.29807,-3.03143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.25745,-3.07879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.19727,-3.09991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.13093,-3.10703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,-3.10765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
